counts,revenue,meter_expired,outside_lines,off_str,fine_$63,fine_$58,single_type,flat,tod,jump
281,17703.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
32,2016.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
280,17640.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
14,812.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
280,17640.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
33,2079.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
280,17640.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
280,17640.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
11,693.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
279,17577.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
279,17577.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
21,1323.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
277,17451.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
26,1638.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
276,17388.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
275,17325.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
16,1008.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
275,17325.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
274,17262.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
24,1512.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
273,17199.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
27,1701.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
25,1575.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
273,17199.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
270,17010.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
23,1449.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
268,16884.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
267,16821.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
265,16695.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
17,986.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
14,882.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
264,16632.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
117,7371.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20,1260.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
264,16632.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
210,13230.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
19,1197.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
13,819.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
12,756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
264,16632.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
11,693.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
263,16569.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
19,1197.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
262,16506.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
35,2030.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
262,16506.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
261,16443.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
27,1701.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
14,882.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
260,16380.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
29,1827.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
